sequence,pcaG,pcaH,PETase,tphA2,tphA3,tphB
ASV000676,0,0,0,0,0,0
ASV000677,0,0,0,0,0,0
ASV000678,0,0,0,0,0,0
ASV000679,0,0,0,0,0,0
ASV000680,0,0,0,0,0,0
ASV000681,0,0,0,1,0,0
ASV000682,0,0,0,0,0,0
ASV000683,0,0,0,0,0,0
ASV000684,0,0,0,0,0,0
ASV000685,0,0,0,0,0,0
ASV000686,0,0,0,2,0,1
ASV000687,0,0,0,0,0,0
ASV000688,0,0,0,0,0,0
ASV000689,0,0,0,0,0,0
ASV000690,0,0,0,0,0,0
ASV000691,0,0,0,0,0,0
ASV000692,0,0,0,0,0,0
ASV000693,0,0,0,0,0,0
ASV000694,0,0,0,10,0,1
ASV000695,0,0,0,0,0,0
ASV000696,0,0,0,0,0,0
ASV000697,0,0,0,0,0,0
ASV000698,0,0,0,0,0,0
ASV000699,0,0,0,0,0,0
ASV000700,0,0,0,0,0,0
ASV000701,0,0,0,0,0,0
ASV000702,0,0,0,3,0,0
ASV000703,0,0,0,0,0,0
ASV000704,0,0,0,1,0,0
ASV000705,0,0,0,0,0,0
ASV000706,0,0,0,3,0,0
ASV000707,0,0,0,3,0,1
ASV000708,0,0,0,3,0,0
ASV000709,0,0,0,0,0,0
ASV000710,0,0,0,0,0,0
ASV000711,7,7,0,1,0,7
ASV000712,0,0,0,0,0,0
ASV000713,0,0,0,0,0,0
ASV000714,0,0,0,0,0,0
ASV000715,0,0,0,0,0,0
ASV000716,2,2,0,2,0,0
ASV000717,0,0,0,0,0,0
ASV000718,0,0,0,0,0,0
ASV000719,0,0,0,0,0,0
ASV000720,0,0,0,0,0,0
ASV000721,0,0,0,0,0,0
ASV000722,0,0,0,0,0,0
ASV000723,0,0,0,0,0,0
ASV000724,0,0,0,0,0,0
ASV000725,0,0,0,0,0,0
ASV000726,0,0,0,0,0,0
ASV000727,1,1,0,0,0,0
ASV000728,0,0,0,0,0,0
ASV000729,0,0,0,0,0,0
ASV000730,0,0,0,0,0,0
ASV000731,0,0,0,0,0,0
ASV000732,2,2,0,1,0,1
ASV000733,2,2,0,1,0,1
ASV000734,0,0,0,0,0,0
ASV000735,0,0,0,0,0,0
ASV000736,0,0,0,0,0,0
ASV000737,0,0,0,0,0,0
ASV000738,2,2,0,1,0,1
ASV000739,0,0,0,0,0,0
ASV000740,0,0,0,0,0,0
ASV000741,0,0,0,0,0,0
ASV000742,0,0,0,0,0,0
ASV000743,3,3,0,1,0,0
ASV000744,2,2,0,7,1,7
ASV000745,0,0,0,0,0,0
ASV000746,0,0,0,0,0,0
ASV000747,0,0,0,0,0,0
ASV000748,0,0,0,0,0,0
ASV000749,0,0,0,0,0,0
ASV000750,2,1,0,1,0,0
ASV000751,0,0,0,0,0,0
ASV000752,1,0,0,2,0,1
ASV000753,0,0,0,0,0,0
ASV000754,0,0,0,0,0,0
ASV000755,0,1,0,1,0,0
ASV000756,0,0,0,0,0,0
ASV000757,0,0,0,0,0,0
ASV000758,0,0,0,0,0,0
ASV000759,2,2,0,1,0,0
ASV000760,0,0,0,0,0,0
ASV000761,0,0,0,0,0,0
ASV000762,0,0,0,1,0,1
ASV000763,0,0,0,0,0,0
ASV000764,2,2,0,1,0,0
ASV000765,3,3,0,1,0,0
ASV000766,2,1,0,1,0,0
ASV000767,0,0,0,0,0,0
ASV000768,0,0,0,1,0,0
