.wavelength	spc
2225	0.250376401876512
2226	0.250745323005886
2227	0.249718399498086
2228	0.248748154317464
2229	0.249480974806816
2230	0.249432546420148
2231	0.25184858655797
2232	0.253683423447159
2233	0.256191447549388
2234	0.258762340618459
2235	0.261744683140302
2236	0.265441267208688
2237	0.269994051360778
2238	0.27510548599463
2239	0.280026626233789
2240	0.284757182267915
2241	0.287754590694385
2242	0.288878392573808
2243	0.28960343048986
2244	0.287063959062815
2245	0.286036390287075
2246	0.283054893170548
2247	0.281253907100648
2248	0.279484825905227
2249	0.278452526920312
2250	0.278261920732876
2251	0.28067277163829
2252	0.283621817261102
2253	0.290776557601058
2254	0.298314242079808
2255	0.306541143720914
2256	0.316358913591253
2257	0.32128608310173
2258	0.327920384249031
2259	0.330530695734279
2260	0.333108268437389
2261	0.335096611601654
2262	0.336658439453535
2263	0.33804055739732
2264	0.339366864391672
2265	0.340387819061767
2266	0.341733768968999
2267	0.343335466899724
2268	0.34518570994383
2269	0.347760242475491
2270	0.348972589540928
2271	0.350917199470355
2272	0.351426411474611
2273	0.351994921312489
2274	0.353310042313899
2275	0.355110046354706
2276	0.358445657125849
2277	0.362812006956673
2278	0.36779055954023
2279	0.372780497812074
2280	0.377813686165875
2281	0.382687269628463
2282	0.387550820579227
2283	0.392621177850663
2284	0.397835408402207
2285	0.401868923393082
2286	0.405633585601889
2287	0.408013220626601
2288	0.409903762308563
2289	0.411551393439076
2290	0.413178551014673
2291	0.414800749741124
2292	0.416194829353483
2293	0.417059976605381
2294	0.416905516969097
2295	0.416296595020175
2296	0.414787596975007
2297	0.413569519314414
2298	0.41195969469761
2299	0.410893107538205
2300	0.409797257455563
2301	0.408913104220579
2302	0.408614628392253
2303	0.408648273807858
2304	0.409375893379121
2305	0.410879992296894
2306	0.413046244041556
2307	0.415846742781152
2308	0.419487473695523
2309	0.423280542516065
2310	0.427485440840275
2311	0.431845172471285
2312	0.436105519619675
2313	0.440594489186798
2314	0.44514850504031
2315	0.450364355040218
2316	0.455814586543341
2317	0.46187114924709
2318	0.467755594067217
2319	0.473043070600911
2320	0.476913449862443
2321	0.479702945850271
2322	0.47931440581463
2323	0.478775593507416
2324	0.474279204442056
2325	0.470981650367016
2326	0.465613714667021
2327	0.460682318482681
2328	0.456631630380159
2329	0.452366704376581
2330	0.449936599024829
2331	0.448211990198976
2332	0.44751307820886
2333	0.447605749177159
2334	0.448447267029654
2335	0.448137286343455
2336	0.449445987605245
2337	0.449167116779548
2338	0.449749049552265
2339	0.451149961335922
2340	0.451456037789506
2341	0.453237470740402
2342	0.454055226292326
2343	0.455495601015414
2344	0.457129598444688
2345	0.458997620606085
2346	0.460635472352383
2347	0.462325429787071
2348	0.462728186774241
2349	0.462789447144471
2350	0.461903273203833
2351	0.460110391887593
2352	0.459196829917316
2353	0.457732609256864
2354	0.457924727682897
2355	0.458546163528592
2356	0.459766629943075
2357	0.46105357408936
2358	0.462011453357084
2359	0.462378447356133
2360	0.462204569321612
2361	0.461628676161753
2362	0.461565738075957
2363	0.462104691376115
2364	0.46297639340469
2365	0.465349265640285
2366	0.466545514103229
2367	0.468291912347636
2368	0.469154559476835
2369	0.469219321692402
2370	0.469310930979756
2371	0.468990432226397
2372	0.468861895537488
2373	0.468639771941133
2374	0.468019481021121
2375	0.46697571288269
2376	0.465859961919662
2377	0.463993499453306
2378	0.463751373209631
2379	0.462950186137502
2380	0.464282540733946
2381	0.466067477487358
2382	0.467582125199013
2383	0.469030521811198
2384	0.469123737829023
2385	0.468679121687816
2386	0.467852265168065
2387	0.467128379627262
2388	0.466576467716362
2389	0.466297798412806
2390	0.466053738601803
2391	0.465940770500708
2392	0.465470198009542
2393	0.465313795174256
2394	0.465118233040033
2395	0.465371013813262
2396	0.466112586059969
2397	0.467233465190793
2398	0.468633564465898
2399	0.470168858349233
2400	0.471684696856215
2401	0.473117847860342
2402	0.474666871681422
2403	0.476074679236675
2404	0.477188454286128
2405	0.478447185293532
2406	0.478519076169275
2407	0.478957484433261
2408	0.47821313177999
2409	0.477437137025757
2410	0.476074424599925
2411	0.47450439181918
2412	0.473008157270305
2413	0.471800476810449
2414	0.471025257924193
2415	0.470905480784591
2416	0.471027962443713
2417	0.471829281158962
2418	0.47257147581579
2419	0.473644225170227
2420	0.474495847232077
2421	0.474722402194455
2422	0.474882883798264
2423	0.473591580025692
2424	0.472444411584977
2425	0.470344542630987
2426	0.468395444474236
2427	0.466531144176455
2428	0.465175185018354
2429	0.463979652099208
2430	0.463877656722827
2431	0.4636868218218
2432	0.464664700488306
2433	0.465891708477956
2434	0.467763889502142
2435	0.47019335304562
2436	0.472577620033128
2437	0.475200225562393
2438	0.477274444760631
2439	0.478949023373582
2440	0.480056616892995
2441	0.480725098042524
2442	0.481120490167539
2443	0.48125732202528
2444	0.481539194520839
2445	0.481448179643295
2446	0.481594938774692
2447	0.482197423483749
2448	0.482173587133983
2449	0.483269906690852
2450	0.483724985228741
2451	0.484321891080517
2452	0.484860266373425
2453	0.485090741755111
2454	0.485383726570729
2455	0.485728296524168
2456	0.485999178013897
2457	0.486192852486224
2458	0.486281536765965
2459	0.486097408135733
2460	0.486467547015407
2461	0.486533494434079
2462	0.48777188009886
2463	0.489177035877214
2464	0.491268896907896
2465	0.493665318778283
2466	0.49601978826321
2467	0.498083744958055
2468	0.499751135027544
2469	0.500977429260372
2470	0.501938345886649
2471	0.502464927519251
2472	0.503162072448706
2473	0.503308835255057
2474	0.503497468720054
2475	0.503687313451529
2476	0.503258127818529
2477	0.5029003213996
2478	0.502164339884286
2479	0.501191363978983
2480	0.500356476353117
2481	0.499681975426204
2482	0.499259512550937
2483	0.498954317101558
2484	0.4986322044534
2485	0.498438520578799
2486	0.498800335219067
2487	0.499070382300284
2488	0.501135461534109
2489	0.502693948305152
2490	0.5050722587425
2491	0.507612815397924
2492	0.509600078809083
2493	0.51193278649939
2494	0.514138094679929
2495	0.516415500943955
2496	0.518732561120337
2497	0.521130860957555
2498	0.523235938938938
2499	0.524924456098944
2500	0.526051611559263
2501	0.525801105224166
2502	0.525754318275067
2503	0.523915302307243
2504	0.523248461378519
2505	0.521928589073586
2506	0.521102852704016
2507	0.521033640027833
2508	0.521037551359132
2509	0.52185299290506
2510	0.523421908054069
2511	0.525273610465853
2512	0.527132766794504
2513	0.52949454401158
2514	0.53027514430845
2515	0.532155121292075
2516	0.532228236206749
2517	0.532594423555943
2518	0.532127328328503
2519	0.530926852834535
2520	0.530081726874997
2521	0.529100301690163
2522	0.528775521356899
2523	0.528828138571882
2524	0.529119146142181
2525	0.529032276349344
2526	0.529272650209998
2527	0.529252714915034
2528	0.529309949159873
2529	0.530501176861991
2530	0.530978106567031
2531	0.532657811549025
2532	0.533976701607303
2533	0.535211843391778
2534	0.536673022217881
2535	0.537918014360454
2536	0.539407540884254
2537	0.541171163729704
2538	0.543237693194927
2539	0.545185696492309
2540	0.547249414709015
2541	0.548529718291898
2542	0.549968012241975
2543	0.551041678791347
2544	0.551988856791444
2545	0.553246890576023
2546	0.553272583846613
2547	0.553202509983528
2548	0.551570073992293
2549	0.549363435371413
2550	0.546503072257245
2551	0.543791188052779
2552	0.541452376773798
2553	0.540568515675304
2554	0.54017892643621
2555	0.541759370228316
2556	0.543109866851268
2557	0.546195034147836
2558	0.548818881848722
2559	0.55205716720857
2560	0.555355752779627
2561	0.558226738627783
2562	0.56106328679291
2563	0.563012226034878
2564	0.564095176874934
2565	0.564358948239896
2566	0.563741398883889
2567	0.562696759398243
2568	0.561645047686276
2569	0.56034017982398
2570	0.559615340782695
2571	0.558911754019236
2572	0.558725878180065
2573	0.558876479022926
2574	0.559734983414288
2575	0.560919228373061
2576	0.562887721648627
2577	0.565138215631957
2578	0.56761920276324
2579	0.57005313467671
2580	0.572518342436734
2581	0.574408188352583
2582	0.576539975111831
2583	0.578076850664808
2584	0.579814380409718
2585	0.581410532847836
2586	0.582747682840691
2587	0.58420812978552
2588	0.585132106013315
2589	0.586010044530972
2590	0.586495321128127
2591	0.586533252618297
2592	0.586039626094435
2593	0.585516029842696
2594	0.58437687261546
2595	0.583622016968253
2596	0.583520443877604
2597	0.583045304829176
2598	0.584969692242056
2599	0.585989830557823
2600	0.589174885585711
2601	0.592097007658121
2602	0.595690617184856
2603	0.599224488361931
2604	0.602156784341198
2605	0.604349565615515
2606	0.605980915159938
2607	0.606407410810667
2608	0.606521134261284
2609	0.606383632557081
2610	0.605524998255949
2611	0.605728726909157
2612	0.605284551674078
2613	0.605754105456368
2614	0.606274325128232
2615	0.607142976856389
2616	0.608309996951901
2617	0.609703439863019
2618	0.611265928184303
2619	0.612823147715138
2620	0.614167394194748
2621	0.615258515214702
2622	0.616302767061718
2623	0.617334798675392
2624	0.618836448757402
2625	0.620462949633178
2626	0.622156357620477
2627	0.623748794546373
2628	0.624765008787151
2629	0.625532001695356
2630	0.625859782829519
2631	0.626196397562145
