.wavelength,Bacillus,Community,Control,Thioclava
824,1.3540853101100134,1.4294101780018336,1.5195640323741957,1.5519984425957114
825,1.3755609561569502,1.451135274086288,1.5419050517787245,1.5739643559102598
826,1.39873213669415,1.4741340584127811,1.5654257242684766,1.5976475146428823
827,1.4235356355540856,1.4984667994964724,1.5902563012512279,1.6227219977129614
828,1.449875799582167,1.52400888904858,1.6162625534920734,1.6490724254360423
829,1.4776904268234223,1.5507949411528712,1.6433444733223057,1.6764137298055501
830,1.5065832746202712,1.578582460858392,1.6713507786484718,1.7047806287501344
831,1.5369762667206588,1.6078961439405197,1.7006462060779333,1.7341053974202403
832,1.5682370745075278,1.6378907234915365,1.730469058750191,1.7642561146681313
833,1.6008178487372497,1.6693315910383466,1.7620205874353945,1.795847554812829
834,1.6343760689923965,1.7013631002425211,1.7939819157665045,1.8280144405550383
835,1.6693422468346832,1.7349573887605887,1.8278034860679533,1.8623977596855523
836,1.704682794116677,1.7686344885470187,1.8617811463021379,1.8965874512541276
837,1.7420069198848043,1.8042851911002233,1.8978735838917666,1.9337221618631153
