ASV001644,ASV1644: $Vibrionaceae$
ASV001649,ASV1649: $Marinobacter$
ASV001655,ASV1655: $Thalassospira$
ASV001660,ASV1660: $Gimesiaceae$
ASV001661,ASV1661: $Burkholderiaceae$
ASV001662,ASV1662: $Alphaproteobacteria$
ASV001666,ASV1666: $Rhizobiaceae$
ASV001667,ASV1667: $Burkholderiaceae$
ASV001671,ASV1671: $Hyphomonas$
ASV001672,ASV1672: $Pseudomonadaceae$
ASV001675,ASV1675: $Psychroserpens$ $damuponensis$
ASV001679,ASV1679: $Vibrio$
ASV001686,ASV1686: $Paracoccus$ $yeei$
ASV001689,ASV1689: $Rhodobacteraceae$
ASV001691,ASV1691: $Pedobacter$ $nutrimenti$
ASV001694,ASV1694: $Rhodobacteraceae$
ASV001701,ASV1701: $Mycobacteriaceae$
ASV001702,ASV1702: $Burkholderiaceae$
ASV001704,ASV1704: $Oricola$
ASV001705,ASV1705: $Rhizobiaceae$
ASV001707,ASV1707: $Blastopirellula$
ASV001709,ASV1709: $Thalassospira$
ASV001710,ASV1710: $Thalassobaculum$
ASV001713,ASV1713: $Pseudonocardia$
ASV001714,ASV1714: $Rhodobacteraceae$
ASV001721,ASV1721: $Alphaproteobacteria$
ASV001722,ASV1722: $Thalassobaculum$
ASV001724,ASV1724: $Spirosoma$
ASV001731,ASV1731: $Oligella$ $urethralis$
ASV001732,ASV1732: $Staphylococcus$
ASV001733,ASV1733: $Pantoea$
ASV001741,ASV1741: $Winogradskyella$
ASV001742,ASV1742: $Olleya$
ASV001743,ASV1743: $Thiobacimonas$
ASV001760,ASV1760: $Thalassospira$
ASV001764,ASV1764: $Thalassospira$
ASV001770,ASV1770: $Hyphomonas$
ASV001775,ASV1775: $Thiobacimonas$
ASV001780,ASV1780: $EF100-94H03$
ASV001781,ASV1781: $Marinibaculum$
ASV001785,ASV1785: $Thalassospira$
ASV001787,ASV1787: $JGI_0001001-H03$
ASV001791,ASV1791: $Pseudonocardiaceae$
ASV001792,ASV1792: $Thalassospira$
ASV001793,ASV1793: $Vibrio$
ASV001794,ASV1794: $Thalassobaculum$
ASV001795,ASV1795: $Catenococcus$
